الاسم,المدينة,المنطقة,الحي,الشارع,صندوق البريد,الرمز الريدي,الجوال,البريد الالكتروني
فندق المنار الفضي الفندقية,المدينة المنورة,المدينة المنورة,حي المصانع,ابن المخيلى,7187,7187,+966593296098,manar.almadinah@yahoo.com
درجة الفخامة للوحدات السكنية المفروشة,أبو عريش,جازان,ابو عريش,طريق الامير سلطان,1,,017-3242053,sma.almnar@hotmail.com
فندق دار المقام الفندقية,العاصمة المقدسة,مكة المكرمة,الروضة,العام,3976,1441,+966125290412,maqam@hsco.com.sa
شقق المضيف الأول للشقق المفروشة,الهفوف,الشرقية,الصيهد,العام,1,002631,+966135844440,Tarki111222.k@gmail.com
أباهي للوحدات السكنية المفروشة,جدة,مكة المكرمة,النسيم,النسيم العام,1,,012-2500909,aa500ss@hotmail.com
شركة دار هاشم النزهة الفندقية,الرياض,الرياض,حي النزهة,الامير مقرن بن عبدالعزيز,3276,12474,+966112070001,altayyar@darhashim.com
درة البلاد الفندقية,العاصمة المقدسة,مكة المكرمة,الستين,شارع الستين,0,,014-5778599,alsalah.hotel@hotmail.com
محمد سليمان السياري للوحدات السكنيه	المفروشة,البديع,الشرقية,البديع,التاسع,27,,013-8353099,saad55569@hotmail.com
مجموعة القصر الأرجواني للوحدات السكنية,الطائف,مكة المكرمة,الشهداءالجنوبية,شارع حسان بن ثابت,0,,012-7425555,a.bafail@gmail.com
جود التاج,العاصمة المقدسة,مكة المكرمة,المسفلة,ابراهيم الخليل,0,,014-5481051,m-aa4@hotmail.com
فندق العين السويس,جدة,مكة المكرمة,الحمراء,حسين باسلامة,2353,,012-6643222,Talal_khalil_7@hotmail.com
قصر الرحابة للوحدات السكنية المفروشة,الطائف,مكة المكرمة,السداد,السداد,8207,6455,+966127426888,sami_sami_999@hotmail.com
فندق محمد سيف حسن اليماني الفندقية,العاصمة المقدسة,مكة المكرمة,الغزه,بريحة الرشيدي,8595,8595,+9661257721133,mohamed-bin-saif-est@hotmail.coml
فندق ذا دستركت,نجران,نجران,حي الفيصلية,شارع الملك سلمان,6115,,017-4199321,hael@thedistrict-hotel.com
نزل واحة صبيا,الكدمي,جازان,الرحاب,الشارع العام خط الحزام,323523,,017-3400110,ameer.selem@gmail.com
فندق كرم جدة الفندقية,جدة,مكة المكرمة,البغدادية الغربية,طريق المدينة المنورة,7599,16372,+966126433339,binhayas@hotmail.com
منتجع ركن المدى للوحدات السكنية,القياس,جازان,الكدرة,العام,7275,,017-3460127,a0552728422@gmail.com
بروج المدينة,المدينة المنورة,المدينة المنورة,قربان,عمر بن عبدالعزيز,0,,014-8381828,brumedn@gmail.com
شركة الروضه لتنمية وتطوير العقارات وادارة المشاريع شركة شخص واحد,المدينة المنورة,المدينة المنورة,المناخة,سعيد بن زيد القرشي,6564,42311,+966550979057,kh_444@hotmail.com
فلل غروب الشمس,الدرب,جازان,مخطط الجوهرة,شارع الدرب العام,11,,017-3466904,mo0s_015@hotmail.com
فندق ينابيع الخيرات,العاصمة المقدسة,مكة المكرمة,المسفلة,كونكارية,0,,014-5734444,deyyab2000@hotmail.com
فندق كورت يارد ماريوت العليا,الرياض,الرياض,حي العليا,موسى بن نصير,2759,8596,+966112342222,mansour.alghamdi@courtyard.com
قافلة البيان,الخالدية,الرياض,ليلى الأفلاج,الامير عبدالمجيد ابن  عبدالعزيز,4292,,011-6825655,djen5655@hotmail.com
ديوان الأصيل,جدة,مكة المكرمة,النزهة,الملك فهد,7,,012-6050353,f654@hotmail.com
أفضل مكان,جدة,مكة المكرمة,المروة,حراء,0,,012-6131155,coool511@gmail.com
فندق وقت النزيل الفندقية,المدينة المنورة,المدينة المنورة,المناخة,معاوية بي ابي سفيان,6656,42311,+966148252003,gm@alzuhdigroup.com
اسناد للوحدات السكنيه,الطائف,مكة المكرمة,المليساء,طريق الموتمرات,28,,012-7601151,tokhee.hussein1@gmail.com
شركة الرواسي للشقق الفندقية فرع شركة الرواسي للتعمير,جدة,مكة المكرمة,حي الروضة,عبدالمقصود خوجه,8183,40198,+966122630263,mohammad@alrawasi.co
شركة الماسة الزرقاء للخدمات الفندقيه,جدة,مكة المكرمة,الحمراء,بحر العرب,3007,6969,+966920002060,hamzahhammoudah@gmail.com
فندق أميرة معتوق حسن خياط,العاصمة المقدسة,مكة المكرمة,حي اجياد,العام,7091,46946,+966125487396,NAIFALSWAT@ICLOUD.COM
امواج للوحدات السكنيه 2,الجبيل,الشرقية,طيبه,الملك عبدالعزيز,13,,013-3638450,sduwaish@gmail.com
درة الدبلومات,القرعاء,القصيم,النهضة,الابراج,231,,016-3827973,ragabsayed@rocketmail.com
سوفي,الظهران,الشرقية,حي البحيرة,طريق الخليج,3010,,013-8085401,mdhat_73@hotmail.com
قصر الشقيق للوحدات السكنية المفروشة,القاع,جازان,الشقيق,-,2720,2720,+966173146092,S_balobaid@hotmail.com
فندق ماريوت,الرياض,الرياض,السفارات,عبدالله السهمي,6725,,011-8353000,bandar.almuhawies@marriott.com
فندق المدينه ماريوت,المدينة المنورة,المدينة المنورة,المناخه,الملك فيصل,3,,014-8180000,ghulam.awan@marriott.com
فندق الرياض شيراتون,الرياض,الرياض,الرحمانية,الملك عبدالله,340,,011-4543300,ialmashari@hotmail.com
ميار العالمية,جدة,مكة المكرمة,حي الرحاب,الامير محمد بن عبد العزيز,3219,,012-6741222,majidazizs@gmail.com
شقق لارا الجوف للوحدات السكنية,سكاكا,الجوف,حي الفيصلية,-,9046,1999,+966146242242,sad391383@gmail.com
مؤسسة عبدالله محمد أحمد النقيب,القنفذة,مكة المكرمة,الليث,عمر بن العاص,0,,012-0000000,hgassass_2020@hotmail.com
منازل الفوز,المدينة المنورة,المدينة المنورة,حي قربان,حذيفة البارقي الازدي,2491,,014-8223629,hassanmlaika@yahoo.com
فندق كورت يارد باي ماريوت جازان,جازان,جازان,حي الشاطئ,شارع عام,3494,82812,+966173129999,m.almosa@artar.com.sa
شقق درر اروى للوحدات السكنية المفروشة,الدمام,الشرقية,أحد,الملك سعود,74,,013-8991407,taigr98@gmail.com
جوهرة مسرة,الطائف,مكة المكرمة,20,مسرة,15,,012-7320633,Nahasdeerrdf@live.com
قمة نجوم للوحدات السكنية,الحناكية,المدينة المنورة,الشفا,طريق الملك عبد العزيز,8569,00,+966148620304,alrays1@hotmail.com
شركة الماسة الخاصة المحدودة,العاصمة المقدسة,مكة المكرمة,أجياد,أجياد,4806,4806,+9665506190,ho@almassagroup.com
فندق نزل الوادي,صبيا,جازان,مجمع صبيا بلاز,طريق الملك عبدالعزيز,0,,017-3261545,abukolid@hotmail.com
فندق مرجان الكرم فرع شركة جميل بن ابراهيم فقيه للإنشاء والتعمير,العاصمة المقدسة,مكة المكرمة,السليمانية,الطريق الدائري الثاني,2190,0,+966125751116,faqeih1@gmail.com
شقق اسوار جدة للوحدات السكنية,جدة,مكة المكرمة,حي المروة,شارع حراء,2951,3250,+966126577458,K-sr-m@hotmail.com
جوهرة الدرب,القياس,جازان,الكدرة,العام,0,,017-3466907,adel.ali1388@hotmail.com
شقق راحتي هوم للشقق المفروشة,الرياض,الرياض,الشهداء,الدوحة,7067,270782,+966114549787,rahty1home@gmail.com
زهرة إثنان,المدينة المنورة,المدينة المنورة,العالية2,العوالي الطالع,4250109,,014-8392814,raco2030@hotmail.com
شقق الشامخة للوحدات السكنية,شرورة,نجران,الروضة الجنوبي,طريق الملك عبدالعزيز,2685,180,+966503723736,mabrok3736@gmail.com
شقق سي أفضل مكان للوحدات السكنية,المذنب,القصيم,قرطبة,طريق الملك عبدالعزيز,5665,28,+966578072982,rawa.cordoba@gmail.com
رحاب الستين,العاصمة المقدسة,مكة المكرمة,الزهراء,أم القرى,2587,,014-4798888,eng.abdul90@hotmail.com
شقق زهرة اوس تين للوحدات السكنية,الطائف,مكة المكرمة,حي نخب,طريق الجنوب الباحة,3792,26517,+966127346059,salehalshehab10@gmail.com
فندق روضة الشريعة الفندقية,العاصمة المقدسة,مكة المكرمة,حي المعابدة,شارع,3976,5732,+966125333300,AHMAD@ASHARIAH.COM
فندق سن ست جدة الفندقية,جدة,مكة المكرمة,الروضة,الأمير سعود الفيصل,4773,2112,+966126605000,fahad.a@sunsetjeddah.com
شقق نزل بيان للوحدات السكنية,الرياض,الرياض,حي ظهرة لبن,نجران,7482,13784,+966112766937,mmaltamrah@gmail.com
شقق اورو للشقق الفندقية,جدة,مكة المكرمة,حي السلامة,قريش,3326,3326,+966598139999,exe.dir@boudl.com
مؤسسة المسافر سبعة الفندقية,المدينة المنورة,المدينة المنورة,العريض,عطاء بن ميسرة,7400,3453,+966148315999,nm909090@gmail.com
نبع نيروز,لبن,الرياض,حي لبن,شارع الطائف,1,,011-2487001,moeelamri@hotmail.com
شقق البيوتات المميزة للشقق المفروشة,جدة,مكة المكرمة,المروة,حراء,3682,3682,+966122273361,thinyan@hotmail.com
فندق درة مفضل الفندقية,المدينة المنورة,المدينة المنورة,قربان,حجر بن العنبس,8236,8236,+966543580550,esb200352@gmail.com
فندق الحديقة الفاخرة,جدة,مكة المكرمة,السلامة,قريش,3,,012-6161117,president@grandpark-hotels.com
شقق ضيافة نرجس للوحدات السكنية,خميس مشيط,عسير,عتود الشمالي,العام,8278,1234,+966172203999,regency555@gmail.com
روعة التاج,الرياض,الرياض,حي المونسية,شارع راجيه,6741,,011-4759934,arf.58@hotmail.com
راديسون بلو,الرياض,الرياض,الضباط,طريق الملك عبدالعزيز,11223366,,011-8649564,aliask2006@hotmail.com
نجوم ينبع للوحدات السكنية,ينبع,المدينة المنورة,الربيع,الملك عبدالعزيز,3688,,014-3902444,ahhejoury@yanbustars.com
منتجع شاطئ الدولفين للايواء السياحي,ينبع,المدينة المنورة,الشرم,الامير سلطان,7348,60,+966143570444,murad-444@hotmail.com
بودل,الرياض,الرياض,المونسية,الثمامة,45,,011-2173088,hr.dir@boudl.com
شقق سدرة الخبر الفندقية,الخبر,الشرقية,العليا,الفضل بن السماعيل,6863,3196,+966138956688,abdullah.hanfoosh@gheena.com.sa
اسعد الاوقات,عتود,جازان,الكدرة,الشارع العام,27,,017-2500387,mohammed.1n@hotmail.com
شقق تاج الخليج للوحدات السكنية,الدمام,الشرقية,حي الندى,زهير ابن قيس,2437,4602,+966138345777,mhojalan@hotmail.com
فريزر سويتس الرياض,الرياض,الرياض,حي العليا,riyadh olaya street,9188,54541,+966112639333,htabatabaei@al-madar.com.sa
ميرال الرس للشقق المخدومة,الرس,القصيم,حي الحزم,الجريف,4814,0,+966163519999,meralalrass@gmail.com
جواهر أبها,الدرب,جازان,الكدرة,العام,4758,,017-3466913,alisenan44332211@gmail.com
رابية الحجازي واحد الفندقية,العاصمة المقدسة,مكة المكرمة,الششة,عبدالله الفيصل,131,,014-5652078,aseelalqemah2030@gmail.com
بيتا حقل السياحي,حقل,تبوك,ام عنم,الملك عبدالعزيز,7350,,014-4530902,bitatouristresorts@gmail.com
شقق المنزل الماسي للوحدات السكنية,المدينة المنورة,المدينة المنورة,العزيزية,الامام الترمذي,59,4424,+966148447149,ryry22bb@gmail.com
منازل فجر,الطائف,مكة المكرمة,ام السباع,شارع حسان بن ثابت,5128,,012-7425635,Naifftais@yaho.com
شقق جوهرة العرب للوحدات السكنية المفروشة,الرياض,الرياض,النسيم الغربي,شارع حسان بن ثابت,4944,41770,+966112300002,nassernais@hotmail.com
مؤسسة لمسة خيال للوحدات السكنية,الدائر,جازان,الهجر,العام,0,46,+966173409185,ft.2030@yhoo.com
شقق بيت الدومه للشقق الفندقية,الرياض,الرياض,المصيف,ابو بكر,8304,12468,+966112637508,alqanas.99@gmail.com
فندق عبير الفضيلة الفندقية,العاصمة المقدسة,مكة المكرمة,حي جرهم,ابراهيم الخليل,8240,3008,+966125306060,fahad_3322@hotmail.com
شقق العنوان الاول للوحدات السكنية,الكدارة,جازان,القومه,العام,2586,2468,+966172295054,algabari.est@gmail.com
فندق حيان احمد المالكي,عثوان,جازان,قسميل,العام,11,,017-3408853,as20200@hotmail.com
بست وسترن بلس فر سان,الرياض,الرياض,الملك عبدالله,طريق الدائري الشرقي,0,,011-4778381,m.ramadan@alrugaibgroup.com
مسكن الراحة للوحدات السكنية المفروشة,جدة,مكة المكرمة,الامير فواز,طريق مكة,3,22400,+966507888666,mgg.2010@yahoo.com
فندق شاطئ الهدوء,ينبع,المدينة المنورة,النزهة,عمر بن الخطاب,1,,014-3572666,alamri1439@hotmail.com
قمة الفخامة,الهفوف,الشرقية,الصيهد,الرياض,0,,013-5855994,emad_emam61@yahoo.com
شقق درر الخالدية للشقق المفروشة,حفر الباطن,الشرقية,الفيحاء,الامير بدر بن عبد العزيز,4801,39925,+966137310006,darar2018@hotmail.com
فندق ياسمين المدينة الفندقية,المدينة المنورة,المدينة المنورة,المصانع,طريق الملك فهد الفرعي,7043,00000,+966148250150,3asso_1407@windowslive.com
شركة شيراتون مكة,العاصمة المقدسة,مكة المكرمة,جرول,جبل الكعبة,7632,52660,+966509582026,abdullah.alharthi@seera.sa
شقق نزل مراسيم,البديعة,الرياض,النزهة,الأمير سلطان بن عبدالعزيز,4468,,011-5500923,mmmmm201490@yahoo.com
زهرة روزة,الرياض,الرياض,حي اليرموك,أبي جعفر المنصور,4756,,011-4554444,aboissa65@hotmail.com
حالي,أبها,عسير,المنسك,العام,2785,,017-2318038,babymircali@hotmail.com
الازهار الذهبية للشقق المفروشة,بلقرن,عسير,بلقرن,الشارع العام,5,,017-6302081,Azhar12321@hotmail.com
البركه الطيبه,المدينة المنورة,المدينة المنورة,السقيا,الفضل بن عتبة,3,,014-8151874,hg9992010@hotmail.com
دار الانصار الاول,المدينة المنورة,المدينة المنورة,بني عبدالأشهل,أحمد بن إبراهيم,0,,014-8237900,MST.EST@HOTMAIL.COM
شقق جوهرة الاماكن للوحدات السكنية,تيماء,تبوك,الشفاء,سلطان بن عبدالعزيز,7751,4,+966508825667,nayef.z.alanzi@hotmail.com
مؤسسة راما بريده للوحدات السكنيه المفروشه,بريدة,القصيم,البساتين,طريق عمر بن عبدالعزيز,7667,,016-3243399,mshoibawad@hotmail.com
شقق ركن داري للشقق المفروشة,المجمعة,الرياض,الفيحاء,الملك فهد,6587,363,+966164320004,rokandari@gmail.com
ديار روما,جدة,مكة المكرمة,مدائن الفهد 4,المرور,994,,012-6446334,h.yafi1380@gmail.com
مؤسسة أمارا للوحدات السكنية,الدمام,الشرقية,الفيصلية,أبو بكر الصديق,7515,5123,+966135036668,amarasuites.ksa@gmail.com
فندق مدن التاج,جدة,مكة المكرمة,الرويس,تبوك,2732,7776,+966126525444,gm@crowntownhotel.com
مروج الخليج للوحدات السكنية المفروشة,السفانية,الشرقية,الفيصلية,خالد بن الوليد,3650,,013-7675936,san59us2000@yahoo.com
شركة تارا,العاصمة المقدسة,مكة المكرمة,حي المسفلة,ابراهيم الخليل,6616,24233,+966000000000,aaa089a@hotmail.com
فندق فوكو الرياض,الرياض,الرياض,حي النموذجية,طريق الملك فهد الفرعي,9616,13003,+966114579999,salaal.alotaibi@ihg.com
فندق الليلة الذهبية,نجران,نجران,حي الامير مشعل,شارع حمزة بن عبدالمطلب,69831,,017-5221414,mohelmesed1@hotmail.com
درة المســاكن,الخبر,الشرقية,العليا,ابو الدر الرومي,2282,,013-8890060,ali01sa@yahoo.com
شقق برج الؤلؤة للوحدات السكنية,ال بي ثور,عسير,لايوجد,لايوجد,2078,23,+966172520444,bsu-444@hotmail.com
باموراما,حفر الباطن,الشرقية,الربوه,الامير سلطان,7582,,013-7228080,r2222q@hotmail.com
شقق لافينا للوحدات السكنية,سكاكا,الجوف,حي الصفاء,طريق الملك فهد بن عبدالعزيز,8029,1126,+966146260808,lavina0808@gmail.com
فندق طارق,الطائف,مكة المكرمة,شبرا,ابو بكرالصديق,8,,012-7345000,tariq_hotel@yahoo.com
فندق فلسطين الفندقية,العاصمة المقدسة,مكة المكرمة,المسفله,العام,6465,24231,+966555504272,ahmed-a-a-b@hotmail.com
جراند بلازا,الرياض,الرياض,المربع,الامير فيصل بن تركي,1212,,011-4702211,hazem-ramadan@windowslive.com
شركة فرص للاستثمار والتطوير العقاري,الرياض,الرياض,المعذر الشمالي,طريق الامير تركي بن عبدالعزيز الاول,1,46111,+966114002200,gilbertz@vivienda.com.sa
منازل ثادق,ثادق,الرياض,الخالدية,طريق الملك عبدالعزيز,6873,,011-6455455,FNON2007@GMAIL.COM
فندق نسمات الخير,العاصمة المقدسة,مكة المكرمة,عزيزيةمحبس الجن,الملك عبدالعزيز,0,,014-5592192,Homoidan11@gmail.com
شقق مواسم البحر الأحمر للشقق المخدومة,جدة,مكة المكرمة,النعيم,امنة بنت وهب,6928,3910,+966126821578,alhutami.mamdouh@gmail.com
ركن الرمال,سكاكا,الجوف,الزهور,الملك خالد,4466,,014-6246555,dr_shammar@hotmail.com
نزل درة نوارة,الرياض,الرياض,السويدي,السويدي الغربي,1,,011-4318888,hazem-ramadan@windowslive.com
فنون راحتي اثنين,صبيا,جازان,الملك فهد,شارع الملك سلمان,85299,,017-3270582,info@s-alnahdi.com
شقق الاتحاد الذهبيه للشقق المخدومة,الهفوف,الشرقية,الحمرا الثانيه,طريق الملك عبدالله,6705,36361,+966135225652,slim67027@gmail.com
ضيافة سماء,الرياض,الرياض,الياسمين,طريق انس بن مالك,444,,011-4551919,bm@sama-inn.com
مؤسسة أنفا للشقق المخدومة,جدة,مكة المكرمة,حي المروة,حراء,3580,26312,+966126247555,ahmadsaud802@icloud.com
سعيد عبدالله الزهراني,جدة,مكة المكرمة,المساعد,الرغامة,3261,,012-7462371,zahrani.a.s@hotmail.com
شقق اسيل للوحدات السكنية,جدة,مكة المكرمة,الحمدانية,القاسم ابن امية,4449,1,+966126587410,fs77777770000000@gmail.com
زهرة ضباء,ضباء,تبوك,العمود,طريق الملك عبدالله,49311,,014-4323590,taia750@hotmail.com
شركة كنوز الضيافه,العاصمة المقدسة,مكة المكرمة,حي التيسير,طريق ام القري,2378,24231,+966551199411,midan_hotel@hotmail.com
شقق مناخ الجردة للشقق المفروشة,بريدة,القصيم,الجردة,الملك عبدالعزيز,4329,2021,+966163274466,sia0035@gmail.com
فندق أجنحة رتاج البيت فرع شركة رتاج العالمية,العاصمة المقدسة,مكة المكرمة,اجياد,اجياد,4027,2040,+966125737333,tamer.baseer@retajhotels.com
منازل النور,العاصمة المقدسة,مكة المكرمة,العزيزية,ادارة التعليم بن دهيش,19,,014-5501285,malik_alshaibi@hotmail.com
فندق عفراء الفندقية,العاصمة المقدسة,مكة المكرمة,حي العزيزية,طريق المسجد الحرام,7882,24243,+966555134507,midan_hotel@hotmail.com
ليالي اليرموك,الرياض,الرياض,اليرموك,ابوجعفرالمنصور,9,,011-2403999,stviqdfhk2004@gmail.com
فندق الهجرة الماسي للشقق الفندقية,العاصمة المقدسة,مكة المكرمة,المسفلة,إبراهيم الخليل,6305,,014-5971706,accarm@hotmail.com
فندق ماسة المجد الفندقية,العاصمة المقدسة,مكة المكرمة,النزهة,حسين عرب,4711,1201,+966125444419,massaalmajd@gmail.com
لامة حائل للوحدات السكنية المفروشة,حائل,حائل,المحطة,شارع الملك خالد,10,,016-5311118,azizmoham@hotmail.com
برج موده,المدينة المنورة,المدينة المنورة,السيح,باب الكومة شارع السيح,140402,,014-8180804,bayoumi@nesma.com
شقق عادل حمد الجرباء للوحدات السكنية المفروشة,الرياض,الرياض,حي قرطبة,عبدالله بن مرخان,6633,13245,+966112119991,adelhamad410@gmail.com
شقق غابة الازهار للوحدات السكنية,الباحة,الباحة,رغدان,شارع الملك عبد الله بن عبد العزيز,20,,017-7271504,mhm7777@hotmail.com
شقق ليالي الشرق للوحدات السكنية المفروشة,المبرز,الشرقية,حي البستان,الدمام,7553,1275,+966135802777,albander@albanderco.com
شقق قمة الفخامة للوحدات السكنية المفروشة,الهفوف,الشرقية,حي السلمانية الأول,الرياض,4522,9297,+966135831438,fkhjob@gmail.com
دانه قريش,جدة,مكة المكرمة,السلامه,قريش,3518,,012-6919402,danat.quriash@gmail.com
ندى الريف للشقق المفروشة,العسران,عسير,وقشة,العام,1,,017-2592624,mohammed.aq854@gmail.com
فندق أكيلا الضيافة الفندقية,جدة,مكة المكرمة,حي الحمراء,محي الدين ناظر,2796,985,+966126611389,aquila@aquila-hotel.com
شقق سكنى المسافر للشقق المفروشة,عنيزة,القصيم,اليمامة,علي العبدالله النعيم,3970,56462,+966506406688,abdu2489@yahoo.com
مشرق كدي,العاصمة المقدسة,مكة المكرمة,كدى,الدائري الثالث,1,,014-5336987,hazmigene1@hotmail.com
رفادة الاصيل الفندقية,العاصمة المقدسة,مكة المكرمة,أجياد,ريع بخش,0,,014-5503020,omarjaad@hotmail.com
البازمين,حائل,حائل,صبابة,الملك فهد,445,,016-5330099,alojaimiosama@gmail.com
فندق الشام الاقليمية,المدينة المنورة,المدينة المنورة,مهزور,سلمة بن قيصر,4292,0,+966148207111,drem1978@hotmail.com
منارة الريف للوحدات السكنيه المفروشه,الشنان,حائل,الورود,الامير محمد بن سعود,6208,,016-5200010,mhsh_1999@yahoo.com
فندق الفجرالبديع 4,العاصمة المقدسة,مكة المكرمة,المسفلة,ابراهيم الخليل,7199,,014-5333688,fahadmuta@gmail.com
شقق درر روما للشقق المفروشة,الدمام,الشرقية,طيبة,أبو بكر,7850,4637,+966503073773,romaaldammamhotel@outlook.com
ضيوف جدة,جدة,مكة المكرمة,مدائن الفهد,شارع الأستاد الرياضي الوزيرية,40,,012-2133338,jeddah_guests@gmail.com
مؤسسة تكالى للوحدات السكنية,الرياض,الرياض,اليرموك,محمد علي جناح,2773,13251,+966566666084,takali.hotel@gmail.com
ركن راحتي,الرياض,الرياض,المصيف,عبدالله ال الشيخ,2626,,011-2252634,kmssh1429@hotmail.com
رايات للضيافة الفندقية,الرياض,الرياض,النرجس,ظلم,918,,011-4403777,ader6732@gmail.com
منازل الاحلام للاجنحة المفروشه,تبوك,تبوك,حي العليا,شارع الامير سلطان بن عبدالعزيز,4011,1010444372,+966144217717,ahmaed1394@hotmail.com
بستان الراحة,حفر الباطن,الشرقية,البلدية,الملك سلمان بن عبدالعزيز,299,,013-7221234,zzvcc@hotmail.com
عروس الشاطئ,أملج,تبوك,الضويحي,الملك عبدالله,2518,,014-3825002,ahmadied1@hotmail.com
شركة درة العليا الفندقية,الرياض,الرياض,العليا,العليا العام,6732,72,+92000555,exe.dir@boudl.com
برج ميار,خميس مشيط,عسير,المعمورة,طريق وادي بن هشبل,0,,017-2209894,riyd1418@gmail.com
منازل الحمراء,بريدة,القصيم,الفايزيه,طريق الملك خالد,38,,016-3821524,abo-kaled-a@hotmail.com
شقق نايت ستار للشقق المخدومة,الرياض,الرياض,ظهرة لبن,الطائف,3829,12561,+96650526339,shahrmutiri@gmail.com
فندق برايت الفندقية,العاصمة المقدسة,مكة المكرمة,المسفلة,التقوى,3441,24233,+966554412228,nawwaf_1416@hotmail.com
أجنحة النبرسية,أبها,عسير,المفتاحه,الحزام الدائري,32,,017-2284847,Nar916@hotmail.com
رؤوم ان للشقق المفروشة,عرعر,الحدود الشمالية,المحمدية,موسى بن النصير,2557,,014-6635511,seba.alsharq@gmail.com
الافواج السكنية,المدينة المنورة,المدينة المنورة,باب التمار,الملك فهد,0,,014-8283888,alaewaj@hotmail.com
برج رافال كمبينسكي,الرياض,الرياض,الصحافة,طريق الملك فهد,7647,,011-2008333,ayedhm@rafal.com.sa
فندق لمار البيت الفندقية,العاصمة المقدسة,مكة المكرمة,الروابي,شارع اجياد,1252,252,+966114872222,Info@lamar-hotels.com
فندق قصر الأمل,المدينة المنورة,المدينة المنورة,النقا,الحسن بن علي,3064,,014-8192022,amalgp_4hotels@hotmail.com
فندق قوبا,جازان,جازان,المحمدية,الامير ممدوح بن عبد العزيز,82816,,017-5520365,hmhee1401@hotmail.com
درة الدرعيه(2),النعيرية,الشرقية,العزيزيه,طريق الدمام,0,,013-3734109,qet1313@hotmail.com
شقق عروب الفرسان للوحدات السكنية,بريدة,القصيم,النهضة,عثمان بن عفان رضي الله عنه,3077,7665,+966163833832,k4564k@hotmail.com
فندق النخبة واحد,العاصمة المقدسة,مكة المكرمة,ريع بخش,اجياد,17586,,012-5336200,mh.249@hotmail.com
شقق اجنحة الشيراز للوحدات السكنية,محايل,عسير,حي الجنادرية,-,5280,0000,+966507739709,shiraz.suits@gmail.com
فندق شروره بلازا,شرورة,نجران,الامير مشعل,الستين,0,,017-5320111,a1061215008@gmail.com
فندق أوشن بارك الفندقية,جدة,مكة المكرمة,حي النزهة,حراء,3658,8827,+966126633446,durrattaiba@gmail.com
فندق الرحابة المكية لصاحبها صالح وصل السلمي,العاصمة المقدسة,مكة المكرمة,حي الجامعة,طريق الطائف,7146,19329,+966125570088,al.makiah@hotmail.com
المهيدب للوحدات السكنيه,أبها,عسير,الشفا,طريق الملك عبدالعزيز,1,,017-4702211,hazem-ramadan@windowslive.com
مؤسسة المسواري سويس للوحدات السكنية,الباحة,الباحة,حي الطفير,الملك سعود,2314,12345,+966177273001,almeswari@hotmail.com
شركة سفراء الايواء الفندقية,الرياض,الرياض,حي السفارات,شارع عبدالله  السهمي,6725,5500,+966011835300,Bandar.Almuhawies@marriotthotels.com
شركة ضيافة بيت المسرة للإدارة والتشغيل,الخبر,الشرقية,حي الخبر الجنوبية,الأمير ماجد,8733,1829,+966138650022,admin@massarahouse.info
شقق إشبيلية للشقق المخدومة,بيشة,عسير,الخزامى,الملك سعود,2212,77661,+966176223202,a1017494608@gmail.com
شقق رميس للشقق المخدومة,بريدة,القصيم,الصفاء,الامير فيصل بن مشعل,6620,52358,+966163347777,fares237@gmail.com
ارث الاصالة للوحدات السكنية المفروشة,الرياض,الرياض,النهضة,احمد السديري,0,,011-4927528,Ashwag.na@hotmail.com
وعد عمر الجهني,العلا,المدينة المنورة,العزيزية,الستين,6253,,014-8843222,atiafalola@gmail.com
شقق قمم الصفوة للوحدات السكنية,رفحاء,الحدود الشمالية,حي النموذجية,شارع الملك خالد,4988,357,+966146765111,alageel2000@gmail.com
فندق جوار الماسي الفندقية,جدة,مكة المكرمة,النسيم,النسيم,6553,11087,+966126127440,yahyawi311@gmail.com
فندق كرم طيبة الماسي الفندقية,المدينة المنورة,المدينة المنورة,المناخة,سعيد بن زيد القرشي,0,6955,+966148196966,karam_alhejaz@hotmail.com
فندق رحاب البيان اثنان,العاصمة المقدسة,مكة المكرمة,اجياد,ريع بخش,6201,,014-5774222,loogen2009@hotmail.com
مؤسسة الأيام لتشغيل الفنادق,العاصمة المقدسة,مكة المكرمة,بير بليله,إجياد,4666,4169,+966563990066,aldeaiswaleed@gmail.com
اسكان ستة,العاصمة المقدسة,مكة المكرمة,العزيزية,المسجد الحرام,12,,014-5668288,f46605@hotmail.com
اليوم الأول للوحدات السكنية المفروشة,الخبر,الشرقية,الثقبه,الملك خالد,7,,013-8028864,safrhrr@gmail.com
عريش الاحلام,صامطة,جازان,السنيد,البريد السعودي,6,,017-3323037,mbarkalhmamy@gmail.com
مؤسسة جوهرة الدائري للوحدات السكنية,المدينة المنورة,المدينة المنورة,حي الراية,طريق الملك عبدالله الفرعي,8841,5366,+966148220707,a.makhdom36@gmail.com
فندق البسفور اثنان,المدينة المنورة,المدينة المنورة,حي النقاء,شارع سعد بن أبي وقاص,3017,2075,+966551655067,info@bosphorus-group.com
مؤسسة زين تبوك للوحدات السكنية,تبوك,تبوك,حي القادسية الاول,محمد بن نايف احمد الخطيب سابقا,8529,1,+966144227000,mmttt1@hotmail.com
درر داريا للوحدات السكنية المفروشه,الرياض,الرياض,الملقا,محمد عبد العزيز الدغيثر,3883,,011-4851692,darea.elmalqa3@gmail.com
شركة سما للشقق الفندقية,الرياض,الرياض,المونسيه,الساقيه,1233,8377,+966114771161,m.almohanna@daralqmam.com
